pID,condition,e0,e10,e20,e30,e40,e50,e60,e70,e80,e90,e100,age,gender,botCheck,actuallyEstimated
52,uniform,0.0098,0.0098,0.0906,0.0098,0.0098,0.0951,0.0098,0.7357,0.0098,0.0098,0.0098,18,female,1,1
53,uniform,0.0678,0.0203,0.0678,0.0203,0.0203,0.0291,0.0203,0.693,0.0203,0.0203,0.0203,21,female,1,1
54,uniform,0.0907,0.1013,0.0654,0.2004,0.1624,0.1118,0.0084,0.0127,0.0464,0.1181,0.0823,32,female,1,0
55,uniform,0.0127,0.0127,0.0127,0.0127,0.0127,0.0877,0.1803,0.2692,0.3735,0.0127,0.0127,24,female,1,1
56,uniform,0.015,0.015,0.015,0.015,0.015,0.465,0.015,0.015,0.4,0.015,0.015,23,female,1,1
57,uniform,0.0163,0.0163,0.0163,0.0163,0.1383,0.5955,0.1357,0.0163,0.0163,0.0163,0.0163,21,female,1,1
58,uniform,0,0,0,0,0.0534,0.0575,0.1976,0.3675,0.218,0.106,0,35,female,1,1
59,uniform,0.0099,0.0973,0.1376,0.1608,0.1423,0.0922,0.0913,0.099,0.0664,0.0508,0.0524,23,female,1,1
60,uniform,0.1252,0.1854,0.1825,0.1708,0.2036,0.09,0.02,0.0225,0,0,0,23,female,1,1
61,uniform,0.1023,0.0111,0.148,0.0034,0.1213,0.1236,0.0947,0.116,0.1023,0.151,0.0262,24,female,0,1
62,uniform,0.0933,0.0307,0.0591,0.1169,0.0916,0.1223,0.0938,0.1174,0.0708,0.1007,0.1033,19,female,1,1
63,uniform,0.7864,0,0.0568,0,0.0667,0.0254,0.0188,0,0.0089,0,0.037,46,female,1,1
64,peaked,0.116,0.0117,0.0117,0.0311,0.0117,0.0117,0.0117,0.0117,0.6968,0.0529,0.0333,31,female,1,1
65,peaked,0,0,0,0,0,0,0.0105,0.3919,0.2143,0.1633,0.22,19,female,0,1
66,peaked,0.0191,0.0191,0.0191,0.0191,0.0191,0.0191,0.0621,0.2171,0.419,0.145,0.0421,27,female,1,1
67,peaked,0.035,0.0403,0.0156,0.0156,0.0156,0.1787,0.0156,0.0156,0.6371,0.0156,0.0156,33,female,0,1
68,peaked,0.0104,0.0128,0.0156,0.0178,0.0144,0.0104,0.0104,0.0104,0.7952,0.0923,0.0104,18,female,1,1
69,peaked,0.0035,0.0259,0.0392,0.0484,0.0579,0.0614,0.0677,0.2151,0.3613,0.1145,0.0051,21,female,1,1
70,peaked,0.0035,0.0054,0.0008,0.0008,0.0008,0.0008,0.0279,0.1683,0.7902,0.0008,0.0008,27,female,1,1
71,peaked,0.001,0.001,0.001,0.001,0.1254,0.0019,0.001,0.001,0.7684,0.0974,0.001,26,female,1,1
72,peaked,0.029,0.0732,0,0.0675,0.0832,0.1088,0.4155,0.019,0.0147,0.1031,0.086,24,female,1,1
73,peaked,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.302,0.695,0.0003,0.0003,21,female,1,1
74,peaked,0,0,0,0,0,0.2941,0,0.7059,0,0,0,36,female,1,1
75,peaked,0.0008,0.0339,0.0954,0.0008,0.0563,0.0087,0.0087,0.0008,0.7928,0.0008,0.0008,23,female,1,1
76,peaked,0.0028,0.0021,0.0019,0.0006,0.0014,0.0317,0.079,0.14,0.6686,0.0717,0.0002,20,female,1,1
77,peaked,0.0029,0.0199,0.0249,0.0327,0.0435,0.0642,0.0947,0.1853,0.2554,0.1718,0.1047,24,female,1,1
78,peaked,0.1277,0.1083,0.1509,0.0793,0.1161,0.0561,0.0039,0.1335,0.0658,0.1451,0.0135,30,female,1,0
79,peaked,0,0,0,0,0,0,0.0698,0.2979,0.2796,0.282,0.0707,21,female,1,1
80,peaked,0.0635,0.0357,0.1865,0.0417,0.1329,0.121,0.1905,0.0417,0.0933,0.0218,0.0714,20,female,1,0
81,peaked,0,0,0,0,0.1372,0.1705,0.1996,0.2467,0.2461,0,0,48,female,1,1
82,peaked,0,0,0,0,0,0.2089,0.2686,0.3018,0.2207,0,0,23,female,1,1
83,peaked,0.0172,0.0172,0.0172,0.0172,0.0172,0.0172,0.295,0.5443,0.0172,0.0229,0.0172,26,female,1,1
84,peaked,0.0902,0.0122,0.3397,0.1912,0.12,0.11,0.0633,0.03,0.01,0.0167,0.0167,29,female,1,1
85,peaked,0,0.0322,0.0256,0.0487,0.0273,0.08,0.0964,0.0623,0.5467,0.0635,0.0174,24,female,1,1
86,peaked,0.0648,0.0722,0.1426,0.0167,0.1185,0.1759,0.0185,0.0944,0.1111,0.1074,0.0778,41,female,1,0
87,peaked,0.0097,0.0077,0.0032,0.0041,0.0025,0.0442,0.0898,0.2816,0.4245,0.1285,0.004,37,female,1,1
88,peaked,0.067,0.0307,0,0,0.009,0,0.0344,0,0.8463,0,0.0126,31,female,1,1
89,peaked,0.1195,0.0836,0.058,0.0392,0.0836,0.0785,0.1382,0.1365,0.0358,0.0734,0.1536,25,female,1,0
90,peaked,0.0166,0.0574,0.0296,0.0998,0.0149,0,0,0.0655,0.5999,0.0476,0.0688,30,female,0,1
91,peaked,0.0053,0.0068,0.0053,0.0053,0.0053,0.0269,0.0202,0.0068,0.8003,0.0789,0.0387,30,female,1,1
92,peaked,0.0419,0.009,0.0222,0.009,0.0597,0.009,0.009,0.0258,0.7964,0.009,0.009,32,female,1,1
93,peaked,0,0,0,0,0,0,0,0.0041,0.4204,0.5755,0,23,female,1,1
94,peaked,0.006,0.0567,0.006,0.006,0.006,0.0405,0.0308,0.006,0.7907,0.0454,0.006,59,female,1,1
95,peaked,0.1514,0.1693,0.1375,0.0438,0.0398,0.0319,0.0518,0.0717,0.1116,0.1255,0.0657,43,female,1,0
96,peaked,0.0037,0.0037,0.0037,0.0037,0.0037,0.0037,0.0553,0.4354,0.4797,0.0037,0.0037,20,female,1,1
97,peaked,0,0,0,0,0,0,0,0.2497,0.7503,0,0,30,female,1,1
98,peaked,0.0139,0.0089,0.0054,0.0067,0.0229,0.0474,0.1034,0.19,0.3585,0.1495,0.0935,40,female,1,1
99,peaked,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.1945,0.7978,0.0009,0.0009,18,female,1,1
100,peaked,0.1418,0.0909,0.1418,0.0091,0.0655,0.1673,0.0709,0.1745,0.0309,0.0418,0.0655,23,female,1,0
101,peaked,0.0343,0.0093,0.0093,0.0213,0.0093,0.0635,0.0093,0.7397,0.0505,0.0093,0.044,62,female,1,1
102,peaked,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.1018,0.8922,0.0007,0.0007,18,female,1,1
103,peaked,0,0.0197,0,0.0165,0.0392,0,0.0084,0,0,0.8623,0.0538,35,female,1,1
104,peaked,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.297,0.688,0.0017,0.0017,24,female,1,1
105,peaked,0.0041,0.0041,0.0237,0.0451,0.0451,0.0041,0.0921,0.6998,0.0738,0.0041,0.0041,22,female,1,1
106,peaked,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.5017,0.2763,0.0247,21,female,1,1
