"","pID","beta","gamma","value","x","prior","genpost","infbeta","infgamma","infvalue"
"714",234,0.0535551897032664,9.99999999473644e-08,0.0749475441891499,0.9,0.0901801801801802,0.110800638050551,0.053555523226093,1e-07,9.8485534270932e-15
"715",234,0.0535551897032664,9.99999999473644e-08,0.0749475441891499,1,0.0371171171171171,0,0.053555523226093,1e-07,9.8485534270932e-15
"716",236,0.215263384637456,0.886417964135738,0.0114802703809544,0,0.011530492748401,0,0.215256378225106,0.886426954338501,1.29713519275783e-12
"717",236,0.215263384637456,0.886417964135738,0.0114802703809544,0.1,0.011530492748401,0.00039495093957312,0.215256378225106,0.886426954338501,1.29713519275783e-12
"718",236,0.215263384637456,0.886417964135738,0.0114802703809544,0.2,0.0311683632105216,0.00439276099445046,0.215256378225106,0.886426954338501,1.29713519275783e-12
"719",236,0.215263384637456,0.886417964135738,0.0114802703809544,0.3,0.0466624628411855,0.0171343496346563,0.215256378225106,0.886426954338501,1.29713519275783e-12
"720",236,0.215263384637456,0.886417964135738,0.0114802703809544,0.4,0.0636879560399964,0.0433158117857722,0.215256378225106,0.886426954338501,1.29713519275783e-12
"721",236,0.215263384637456,0.886417964135738,0.0114802703809544,0.5,0.103684352761013,0.0895259418124008,0.215256378225106,0.886426954338501,1.29713519275783e-12
"722",236,0.215263384637456,0.886417964135738,0.0114802703809544,0.6,0.156382307900189,0.15719861396674,0.215256378225106,0.886426954338501,1.29713519275783e-12
"723",236,0.215263384637456,0.886417964135738,0.0114802703809544,0.7,0.185929195567967,0.223158139487039,0.215256378225106,0.886426954338501,1.29713519275783e-12
"724",236,0.215263384637456,0.886417964135738,0.0114802703809544,0.8,0.275290514368075,0.29332028554802,0.215256378225106,0.886426954338501,1.29713519275783e-12
"725",236,0.215263384637456,0.886417964135738,0.0114802703809544,0.9,0.100621565624718,0.171559145831348,0.215256378225106,0.886426954338501,1.29713519275783e-12
"726",236,0.215263384637456,0.886417964135738,0.0114802703809544,1,0.0135122961895325,0,0.215256378225106,0.886426954338501,1.29713519275783e-12
"727",237,1e-07,1.67365111760259,0.330355020243058,0,0.0143243243243243,0,1e-07,1.67365132172352,4.32729158448808e-16
"728",237,1e-07,1.67365111760259,0.330355020243058,0.1,0.00963963963963964,3.44964818088926e-06,1e-07,1.67365132172352,4.32729158448808e-16
"729",237,1e-07,1.67365111760259,0.330355020243058,0.2,0.00963963963963964,0.000293386471036047,1e-07,1.67365132172352,4.32729158448808e-16
"730",237,1e-07,1.67365111760259,0.330355020243058,0.3,0.00963963963963964,0.00354195571164012,1e-07,1.67365132172352,4.32729158448808e-16
"731",237,1e-07,1.67365111760259,0.330355020243058,0.4,0.00963963963963964,0.0187764282419287,1e-07,1.67365132172352,4.32729158448808e-16
"732",237,1e-07,1.67365111760259,0.330355020243058,0.5,0.00963963963963964,0.0616403941680616,1e-07,1.67365132172352,4.32729158448808e-16
"733",237,1e-07,1.67365111760259,0.330355020243058,0.6,0.0988288288288288,0.143800045017253,1e-07,1.67365132172352,4.32729158448808e-16
"734",237,1e-07,1.67365111760259,0.330355020243058,0.7,0.732972972972973,0.249366291097003,1e-07,1.67365132172352,4.32729158448808e-16
"735",237,1e-07,1.67365111760259,0.330355020243058,0.8,0.0863963963963964,0.309282432215685,1e-07,1.67365132172352,4.32729158448808e-16
"736",237,1e-07,1.67365111760259,0.330355020243058,0.9,0.00963963963963964,0.213295617429211,1e-07,1.67365132172352,4.32729158448808e-16
"737",237,1e-07,1.67365111760259,0.330355020243058,1,0.00963963963963964,0,1e-07,1.67365132172352,4.32729158448808e-16
"738",239,0.9999999,0.47591197698485,0.00913435254432058,0,0.0282933861957109,0,0.9999999,0.475910904775768,4.03309696487059e-14
"739",239,0.9999999,0.47591197698485,0.00913435254432058,0.1,0.0392863579023247,0.00238140872856637,0.9999999,0.475910904775768,4.03309696487059e-14
"740",239,0.9999999,0.47591197698485,0.00913435254432058,0.2,0.0469453955667688,0.0100669099113638,0.9999999,0.475910904775768,4.03309696487059e-14
"741",239,0.9999999,0.47591197698485,0.00913435254432058,0.3,0.0550549648585331,0.0239726669304129,0.9999999,0.475910904775768,4.03309696487059e-14
"742",239,0.9999999,0.47591197698485,0.00913435254432058,0.4,0.104883762840151,0.0733848942983047,0.9999999,0.475910904775768,4.03309696487059e-14
