"","pID","condition","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","actuallyEstimated","gamma","delta","value"
"23","14","uniform",0.00900738605656638,0.0180147721131328,0.0180147721131328,0.0180147721131328,0.0144118176905062,0.12069897315799,0.227436497928301,0.387047378850658,0.156728517384255,0.0216177265357593,0.00900738605656638,26,"female",1,1,3.01542765529066,5.53585533379454,0.0063795605210009
"24","140","uniform",0.012069897315799,0.012069897315799,0.012069897315799,0.062691406953702,0.154296523148982,0.249864889209152,0.35750315258512,0.0760223383174203,0.0392722032066294,0.012069897315799,0.012069897315799,23,"male",1,1,2.21821030785521,7.29527793882041,0.0129938881251649
"25","141","uniform",0.0793622196198541,0.0404468065940005,0.0264841005314836,0.149806323754617,0.164669849563102,0.142599765786866,0.158183947392127,0.0874695973335735,0.0738672191694442,0.0675614809476624,0.00954868930726962,53,"male",1,1,0.345412937422789,1.35524077520177,0.0141545294938122
"26","142","uniform",0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.0720720720720721,0.193963963963964,0.300810810810811,0.37009009009009,0.00900900900900901,20,"male",1,1,1.68164673044629,0.895729276975975,0.0013291089057452
"27","143","uniform",0.00900900900900901,0.039009009009009,0.0781081081081081,0.135135135135135,0.431261261261261,0.15018018018018,0.121261261261261,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,40,"male",1,1,2.12857340518528,12.5302665909803,0.0290498759677831
"28","144","uniform",0.0152252252252252,0.0286486486486486,0.0394594594594595,0.0868468468468468,0.168558558558559,0.316126126126126,0.163873873873874,0.101351351351351,0.0399099099099099,0.025045045045045,0.014954954954955,18,"male",1,1,1.26930199824173,5.02506285226409,0.0107839518999258
"29","145","uniform",0.0906962082320094,0.0916869314599658,0.0906962082320094,0.0906962082320094,0.0906962082320094,0.0920471944519499,0.0906962082320094,0.0906962082320094,0.0906962082320094,0.0906962082320094,0.0906962082320094,18,"male",1,1,1e-07,0.00221165715245106,0.0201094623046971
"30","146","uniform",0.00900900900900901,0.011981981981982,0.0491891891891892,0.056036036036036,0.0596396396396396,0.0734234234234234,0.129189189189189,0.441531531531532,0.104504504504504,0.0564864864864865,0.00900900900900901,24,"male",1,1,4.9839024700977,8.60082298252396,0.0417223323792348
"31","148","uniform",0.0197226224783862,0.0197226224783862,0.0197226224783862,0.0197226224783862,0.0226945244956772,0.0960914985590778,0.723432997118156,0.0197226224783862,0.0197226224783862,0.0197226224783862,0.0197226224783862,20,"male",1,1,13.8424109769896,37.8726195595086,0.0117510703135418
"32","149","uniform",0.0634234234234234,0.0186486486486486,0.0288288288288288,0.0105405405405405,0.0200900900900901,0.0105405405405405,0.0821621621621621,0.637027027027027,0.0461261261261261,0.0105405405405405,0.0720720720720721,35,"male",1,1,11.4618118831431,19.4222887394463,0.0289947881698971
"33","15","uniform",0.00936936936936937,0.0630630630630631,0.106936936936937,0.143063063063063,0.147027027027027,0.134594594594595,0.142252252252252,0.0910810810810811,0.0793693693693694,0.0738738738738739,0.00936936936936937,28,"female",1,1,0.180055635618921,0.873496328211326,0.00178072214956787
"34","150","uniform",0.021619673903252,0.021619673903252,0.0245022970903522,0.021619673903252,0.021619673903252,0.021619673903252,0.021619673903252,0.183496982253851,0.453562742095307,0.187100261237726,0.021619673903252,18,"male",1,1,4.54346249464932,4.17818223362363,0.00917107640967397
"35","151","uniform",0.0208108108108108,0.0282882882882883,0.0301801801801802,0.0105405405405405,0.0773873873873874,0.0320720720720721,0.0105405405405405,0.0105405405405405,0.718108108108108,0.0105405405405405,0.050990990990991,44,"male",1,1,12.897389816732,11.8208918273531,0.0344604838890743
"36","152","uniform",0.00900819745968832,0.0892712368255112,0.0255832807855148,0.0101792631294478,0.108728943338438,0.0892712368255112,0.00900819745968832,0.562111521484551,0.0159445095036483,0.00900819745968832,0.0718854157283128,23,"male",1,1,10.8563095163742,18.0431866035553,0.089366605929255
"37","153","uniform",0.00900900900900901,0.0161261261261261,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.020990990990991,0.0548648648648649,0.187027027027027,0.421261261261261,0.17954954954955,0.0841441441441441,26,"male",1,1,3.74518066733783,3.53037076141062,0.0146973515034897
"38","154","uniform",0.0144144144144144,0.0275675675675676,0.0527927927927928,0.0609009009009009,0.0934234234234234,0.112972972972973,0.161351351351351,0.213783783783784,0.141441441441441,0.105405405405405,0.0159459459459459,18,"male",1,1,0.480420991069442,0.833838723458303,0.00423285885490531
"39","155","uniform",0.029552211910983,0.029552211910983,0.029552211910983,0.029552211910983,0.029552211910983,0.029552211910983,0.151094693215605,0.580052256960086,0.0417154698621497,0.0357689881971349,0.014055320299126,21,"male",1,1,9.46795646519047,16.7077882133034,0.0220916989911162
"40","156","uniform",0.0912448207530175,0.0906143037290578,0.0897135651234012,0.0911547468924518,0.0928661502431994,0.0915150423347145,0.0880922356332192,0.0904341560079265,0.0933165195460278,0.0898036389839669,0.0912448207530175,25,"male",1,1,3.41177629569716e-05,1e-07,0.0203723906668487
"41","157","uniform",0.0092809515227969,0.0092809515227969,0.0092809515227969,0.0092809515227969,0.0458641196612002,0.0898360064876554,0.178951162371598,0.270409082717607,0.359253919625158,0.0092809515227969,0.0092809515227969,27,"male",1,1,2.57462509035603,3.58147732822151,0.0148471104332902
"42","158","uniform",0.00963790308052603,0.0106287155467483,0.00990812466222302,0.011799675734102,0.010448567825617,0.011529454152405,0.0617005944874797,0.538821833903801,0.292379751396145,0.0330571068275986,0.0100882723833544,21,"male",1,1,8.99469157101498,13.219422655672,0.00517309942397532
"43","159","uniform",0.00900982070456798,0.00900982070456798,0.00900982070456798,0.00900982070456798,0.0486530318046671,0.0909090909090909,0.057392557888098,0.239481034327417,0.455987025858185,0.0625281556897018,0.00900982070456798,18,"male",1,1,4.68389623594335,5.12053568047182,0.0197342622038262
"44","161","uniform",0.00981981981981982,0.00981981981981982,0.00981981981981982,0.00981981981981982,0.0304504504504505,0.052972972972973,0.177927927927928,0.212792792792793,0.187657657657658,0.289099099099099,0.00981981981981982,27,"male",1,1,0.674379051874076,0.257377478868508,0.00760599514151263
"45","162","uniform",0.0516309244908993,0.17877094972067,0.0516309244908993,0.0516309244908993,0.0516309244908993,0.0502793296089385,0.0516309244908993,0.0516309244908993,0.357902324743197,0.0516309244908993,0.0516309244908993,34,"male",1,1,0.0204505348762928,1e-07,0.0955658152669534
"46","163","uniform",0.0117117117117117,0.0573873873873874,0.0608108108108108,0.0593693693693694,0.0588288288288288,0.454054054054054,0.0601801801801802,0.0597297297297297,0.0586486486486486,0.0593693693693694,0.0599099099099099,35,"male",1,1,5.90767180475868,23.6147007193941,0.0801349465669683
"47","164","uniform",0.00964224565197801,0.00964224565197801,0.183202667387582,0.00964224565197801,0.00964224565197801,0.00964224565197801,0.00964224565197801,0.00964224565197801,0.724520140578535,0.0151392268180589,0.00964224565197801,21,"male",1,1,13.0686092126405,11.9239018797695,0.0549964190705805
"48","165","uniform",0.00900900900900901,0.0108108108108108,0.0256756756756757,0.0110810810810811,0.00900900900900901,0.00900900900900901,0.281711711711712,0.360900900900901,0.252882882882883,0.0203603603603604,0.00954954954954955,29,"male",1,1,3.34336879941539,5.51778922471937,0.00765935156828206
"49","166","uniform",0.0102693451040447,0.0130618863165481,0.00900819745968832,0.0235113953697865,0.0294568056931808,0.0703540221601657,0.107197549770291,0.193315917484911,0.501126024682461,0.0326096748040717,0.0100891811548509,28,"male",1,1,5.56190661460535,5.95738520978853,0.0283294920643678
"50","168","uniform",0.00900900900900901,0.114594594594595,0.112072072072072,0.108558558558559,0.133513513513514,0.105855855855856,0.118918918918919,0.0963063063063063,0.0954954954954955,0.0966666666666667,0.00900900900900901,23,"male",1,1,0.013155282418828,0.150512263609386,0.000899206846256881
"51","17","uniform",0.0118018018018018,0.0848648648648649,0.0935135135135135,0.0855855855855856,0.0734234234234234,0.157117117117117,0.0953153153153153,0.0973873873873874,0.146486486486487,0.145315315315315,0.00918918918918919,24,"female",1,1,0.0667627314407294,1e-07,0.00537730699993112
"52","171","uniform",0.00900900900900901,0.018018018018018,0.018018018018018,0.0240540540540541,0.036036036036036,0.066036036036036,0.100900900900901,0.0939639639639639,0.141801801801802,0.214774774774775,0.277387387387387,19,"male",1,1,0.302821262654952,1e-07,0.090120938956903
"53","173","uniform",0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.0118918918918919,0.0313513513513513,0.057027027027027,0.209459459459459,0.437477477477477,0.207747747747748,0.00900900900900901,24,"male",1,1,3.82261038181662,3.54953891510822,0.00311357228664321
"54","174","uniform",0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.015045045045045,0.020990990990991,0.0590990990990991,0.266576576576577,0.584234234234234,0.00900900900900901,0.00900900900900901,23,"male",1,1,8.03852099894578,8.93241808090164,0.00643633620027806
"55","175","uniform",0.0101774295235522,0.203818787715032,0.237863640457534,0.219129964874358,0.235251733765649,0.0428712960461137,0.0101774295235522,0.0101774295235522,0.0101774295235522,0.0101774295235522,0.0101774295235522,30,"male",1,1,0.320479802316125,4.76384461883222,0.00991629560384607
"56","177","uniform",0.00900900900900901,0.00936936936936937,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.909549549549549,0.00900900900900901,0.00900900900900901,30,"male",1,1,20.4617662720587,18.7244040928102,0.00240314894563977
"57","178","uniform",0.0110840767775074,0.0110840767775074,0.0939893664954492,0.0110840767775074,0.0110840767775074,0.63206271965396,0.185275299630531,0.0110840767775074,0.0110840767775074,0.0110840767775074,0.0110840767775074,24,"male",1,1,10.6191777553863,39.3741248596575,0.0192202804318014
"58","179","uniform",0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.235405405405405,0.683513513513514,0.00900900900900901,0.00900900900900901,33,"male",1,1,10.9158508508536,11.8969046905818,0.00188216989247835
"59","180","uniform",0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.908468468468469,0.0104504504504505,0.00900900900900901,37,"male",1,1,20.3793898274852,18.6101663801492,0.00237915117537044
"60","181","uniform",0.0390990990990991,0.0390990990990991,0.0390990990990991,0.0390990990990991,0.0390990990990991,0.0390990990990991,0.205765765765766,0.358918918918919,0.122522522522523,0.0390990990990991,0.0390990990990991,35,"male",1,1,3.0064750654514,5.40376859600175,0.0247858696732104
"61","183","uniform",0.00900819745968832,0.00900819745968832,0.00900819745968832,0.00900819745968832,0.00900819745968832,0.0381947572290785,0.0980091883614089,0.258805513016845,0.541933159174849,0.00900819745968832,0.00900819745968832,19,"male",1,1,6.73855183732938,7.53293365814202,0.0131450092341615
"62","184","uniform",0.0092809515227969,0.0092809515227969,0.0092809515227969,0.0092809515227969,0.0092809515227969,0.0285637051721031,0.0617228329428726,0.160659578302397,0.448729500810957,0.244638673634889,0.0092809515227969,30,"male",1,1,4.16309217437667,3.58176415132534,0.00513206360909226
"63","185","uniform",0.00936683779158786,0.00936683779158786,0.00936683779158786,0.00936683779158786,0.00936683779158786,0.00936683779158786,0.00936683779158786,0.0094569035395839,0.906241556336125,0.00936683779158786,0.00936683779158786,26,"male",1,1,20.2185550281321,18.5043627354811,0.00257177111958708
"64","188","uniform",0.0136924601387262,0.0114404107738042,0.00999909918025403,0.00990901720565715,0.139176650752184,0.173858210971985,0.0113503287992073,0.351409782902441,0.00918836140888208,0.175029276641744,0.0949464012251148,25,"male",1,1,0.430633202891979,0.628905931850195,0.0974192897733649
"65","189","uniform",0.0273046769397134,0.0273046769397134,0.0273046769397134,0.0273046769397134,0.0273046769397134,0.0297377669640443,0.0273046769397134,0.0273046769397134,0.724520140578535,0.0273046769397134,0.0273046769397134,25,"male",1,1,12.6258754812333,11.5743592339419,0.0221316772276282
"66","190","uniform",0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.0920720720720721,0.322702702702703,0.513153153153153,0.00900900900900901,0.00900900900900901,23,"male",1,1,6.40226407902857,7.55437594174431,0.00525271052728464
