"","pID","condition","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","actuallyEstimated"
"58","127","uniform",0,0,0,0,0,0,0.03,0.2229,0.7471,0,0,19,"male",1,1
"59","130","uniform",0,0,0,0,0,0,0.097,0.2621,0.3302,0.187,0.1237,21,"male",1,1
"60","131","uniform",0.0834,0.0814,0.0337,0.0834,0.0337,0.0695,0.0337,0.0359,0.4941,0.0359,0.0153,28,"male",1,1
"61","133","uniform",4e-04,0.0026,0.0018,0.0011,6e-04,0.0768,0.2667,0.33,0.2453,0.0739,7e-04,23,"male",1,1
"62","134","uniform",0.0738,0.176,0.0984,0.1116,0.0605,0.0302,0.0397,0.0586,0.2094,0.0965,0.0453,30,"male",1,1
"63","135","uniform",0.0945,0.0884,0.0494,0.0144,0.0144,0.0691,0.0906,0.4955,0.0144,0.0277,0.0416,60,"male",1,1
"64","136","uniform",8e-04,0.0216,0.0339,0.0453,0.0653,0.0685,0.1214,0.1941,0.2586,0.1891,0.0013,19,"male",1,1
"65","137","uniform",0.103,0.1185,0.1357,0.0704,0.1328,0.0435,0.0788,0.0687,0.095,0.0852,0.0687,44,"male",1,1
"66","139","uniform",0.0666,0.0666,0.0669,0.0658,0.0737,0.1119,0.1162,0.1289,0.1625,0.1257,0.0153,21,"male",1,1
"67","140","uniform",0.0034,0.0034,0.0034,0.0596,0.1613,0.2674,0.3869,0.0744,0.0336,0.0034,0.0034,23,"male",1,1
"68","141","uniform",0.0781,0.0349,0.0194,0.1563,0.1728,0.1483,0.1656,0.0871,0.072,0.065,6e-04,53,"male",1,1
"69","142","uniform",0,0,0,0,0,0,0.07,0.2053,0.3239,0.4008,0,20,"male",1,1
"70","143","uniform",0,0.0333,0.0767,0.14,0.4687,0.1567,0.1246,0,0,0,0,40,"male",1,1
"71","144","uniform",0.0069,0.0218,0.0338,0.0864,0.1771,0.3409,0.1719,0.1025,0.0343,0.0178,0.0066,18,"male",1,1
"72","145","uniform",0.0907,0.0918,0.0907,0.0907,0.0907,0.0922,0.0907,0.0907,0.0907,0.0907,0.0907,18,"male",1,1
"73","146","uniform",0,0.0033,0.0446,0.0522,0.0562,0.0715,0.1334,0.4801,0.106,0.0527,0,24,"male",1,1
"74","148","uniform",0.0119,0.0119,0.0119,0.0119,0.0152,0.0967,0.7933,0.0119,0.0119,0.0119,0.0119,20,"male",1,1
"75","149","uniform",0.0604,0.0107,0.022,0.0017,0.0123,0.0017,0.0812,0.6971,0.0412,0.0017,0.07,35,"male",1,1
"76","150","uniform",0.014,0.014,0.0172,0.014,0.014,0.014,0.014,0.1937,0.4935,0.1977,0.014,18,"male",1,1
"77","151","uniform",0.0131,0.0214,0.0235,0.0017,0.0759,0.0256,0.0017,0.0017,0.7871,0.0017,0.0466,44,"male",1,1
"78","152","uniform",0,0.0891,0.0184,0.0013,0.1107,0.0891,0,0.614,0.0077,0,0.0698,23,"male",1,1
"79","153","uniform",0,0.0079,0,0,0,0.0133,0.0509,0.1976,0.4576,0.1893,0.0834,26,"male",1,1
"80","154","uniform",0.006,0.0206,0.0486,0.0576,0.0937,0.1154,0.1691,0.2273,0.147,0.107,0.0077,18,"male",1,1
"81","155","uniform",0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.1577,0.6338,0.0363,0.0297,0.0056,21,"male",1,1
"82","156","uniform",0.0913,0.0906,0.0896,0.0912,0.0931,0.0916,0.0878,0.0904,0.0936,0.0897,0.0913,25,"male",1,1
"83","157","uniform",3e-04,3e-04,3e-04,3e-04,0.0409,0.0897,0.1886,0.2901,0.3887,3e-04,3e-04,27,"male",1,1
"84","158","uniform",7e-04,0.0018,0.001,0.0031,0.0016,0.0028,0.0585,0.5882,0.3146,0.0267,0.0012,21,"male",1,1
"85","159","uniform",0,0,0,0,0.044,0.0909,0.0537,0.2558,0.4961,0.0594,0,18,"male",1,1
"86","161","uniform",9e-04,9e-04,9e-04,9e-04,0.0238,0.0488,0.1875,0.2262,0.1983,0.3109,9e-04,27,"male",1,1
"87","162","uniform",0.0473,0.1884,0.0473,0.0473,0.0473,0.0458,0.0473,0.0473,0.3872,0.0473,0.0473,34,"male",1,1
"88","163","uniform",0.003,0.0537,0.0575,0.0559,0.0553,0.494,0.0568,0.0563,0.0551,0.0559,0.0565,35,"male",1,1
"89","164","uniform",7e-04,7e-04,0.1933,7e-04,7e-04,7e-04,7e-04,7e-04,0.794,0.0068,7e-04,21,"male",1,1
"90","165","uniform",0,0.002,0.0185,0.0023,0,0,0.3027,0.3906,0.2707,0.0126,6e-04,29,"male",1,1
"91","166","uniform",0.0014,0.0045,0,0.0161,0.0227,0.0681,0.109,0.2046,0.5463,0.0262,0.0012,28,"male",1,1
"92","168","uniform",0,0.1172,0.1144,0.1105,0.1382,0.1075,0.122,0.0969,0.096,0.0973,0,23,"male",1,1
"93","171","uniform",0,0.01,0.01,0.0167,0.03,0.0633,0.102,0.0943,0.1474,0.2284,0.2979,19,"male",1,1
"94","173","uniform",0,0,0,0,0.0032,0.0248,0.0533,0.2225,0.4756,0.2206,0,24,"male",1,1
"95","174","uniform",0,0,0,0,0.0067,0.0133,0.0556,0.2859,0.6385,0,0,23,"male",1,1
"96","175","uniform",0.0013,0.2163,0.2541,0.2333,0.2512,0.0376,0.0013,0.0013,0.0013,0.0013,0.0013,30,"male",1,1
"97","177","uniform",0,4e-04,0,0,0,0,0,0,0.9996,0,0,30,"male",1,1
"98","178","uniform",0.0023,0.0023,0.0943,0.0023,0.0023,0.6914,0.1956,0.0023,0.0023,0.0023,0.0023,24,"male",1,1
"99","179","uniform",0,0,0,0,0,0,0,0.2513,0.7487,0,0,33,"male",1,1
"100","180","uniform",0,0,0,0,0,0,0,0,0.9984,0.0016,0,37,"male",1,1
"101","181","uniform",0.0334,0.0334,0.0334,0.0334,0.0334,0.0334,0.2184,0.3884,0.126,0.0334,0.0334,35,"male",1,1
"102","183","uniform",0,0,0,0,0,0.0324,0.0988,0.2773,0.5916,0,0,19,"male",1,1
"103","184","uniform",3e-04,3e-04,3e-04,3e-04,3e-04,0.0217,0.0585,0.1683,0.488,0.2615,3e-04,30,"male",1,1
"104","185","uniform",4e-04,4e-04,4e-04,4e-04,4e-04,4e-04,4e-04,5e-04,0.9962,4e-04,4e-04,26,"male",1,1
