"","pID","beta","gamma","value","seenRed","seenBlue","x","prior","genpost","infbeta","infgamma","infvalue"
"784",370,0.122073565433202,0.105493459527252,0.0047772751328119,84,21,0.2,0.0180163949193766,2.643682387321e-05,0.121966778578147,0.105515882108556,1.48134525698991e-10
"785",370,0.122073565433202,0.105493459527252,0.0047772751328119,84,21,0.3,0.0209891000810738,0.000717922464489491,0.121966778578147,0.105515882108556,1.48134525698991e-10
"786",370,0.122073565433202,0.105493459527252,0.0047772751328119,84,21,0.4,0.0256733627601117,0.00657519977713693,0.121966778578147,0.105515882108556,1.48134525698991e-10
"787",370,0.122073565433202,0.105493459527252,0.0047772751328119,84,21,0.5,0.0557607422754707,0.0331187745790671,0.121966778578147,0.105515882108556,1.48134525698991e-10
"788",370,0.122073565433202,0.105493459527252,0.0047772751328119,84,21,0.6,0.118818124493289,0.110667355402076,0.121966778578147,0.105515882108556,1.48134525698991e-10
"789",370,0.122073565433202,0.105493459527252,0.0047772751328119,84,21,0.7,0.229799117196649,0.262283571754724,0.121966778578147,0.105515882108556,1.48134525698991e-10
"790",370,0.122073565433202,0.105493459527252,0.0047772751328119,84,21,0.8,0.334834699576615,0.390246060222046,0.121966778578147,0.105515882108556,1.48134525698991e-10
"791",370,0.122073565433202,0.105493459527252,0.0047772751328119,84,21,0.9,0.159715340960274,0.196364605518053,0.121966778578147,0.105515882108556,1.48134525698991e-10
"792",370,0.122073565433202,0.105493459527252,0.0047772751328119,84,21,1,0.00936852535807585,0,0.121966778578147,0.105515882108556,1.48134525698991e-10
"793",372,0.9999999,1.9470985645631,0.00932212319515166,30,8,0,0.018018018018018,0,0.9999999,1.94678989277104,3.64043100653443e-12
"794",372,0.9999999,1.9470985645631,0.00932212319515166,30,8,0.1,0.018018018018018,5.81380475641572e-45,0.9999999,1.94678989277104,3.64043100653443e-12
"795",372,0.9999999,1.9470985645631,0.00932212319515166,30,8,0.2,0.018018018018018,3.56221880579078e-28,0.9999999,1.94678989277104,3.64043100653443e-12
"796",372,0.9999999,1.9470985645631,0.00932212319515166,30,8,0.3,0.0218918918918919,1.04467131459187e-18,0.9999999,1.94678989277104,3.64043100653443e-12
"797",372,0.9999999,1.9470985645631,0.00932212319515166,30,8,0.4,0.018018018018018,1.54749226823884e-12,0.9999999,1.94678989277104,3.64043100653443e-12
"798",372,0.9999999,1.9470985645631,0.00932212319515166,30,8,0.5,0.018018018018018,4.14037216522737e-08,0.9999999,1.94678989277104,3.64043100653443e-12
"799",372,0.9999999,1.9470985645631,0.00932212319515166,30,8,0.6,0.018018018018018,5.40385040707567e-05,0.9999999,1.94678989277104,3.64043100653443e-12
"800",372,0.9999999,1.9470985645631,0.00932212319515166,30,8,0.7,0.018018018018018,0.00497873464703198,0.9999999,1.94678989277104,3.64043100653443e-12
"801",372,0.9999999,1.9470985645631,0.00932212319515166,30,8,0.8,0.815945945945946,0.994530113135878,0.9999999,1.94678989277104,3.64043100653443e-12
"802",372,0.9999999,1.9470985645631,0.00932212319515166,30,8,0.9,0.018018018018018,0.00043707230775044,0.9999999,1.94678989277104,3.64043100653443e-12
"803",372,0.9999999,1.9470985645631,0.00932212319515166,30,8,1,0.018018018018018,0,0.9999999,1.94678989277104,3.64043100653443e-12
"804",378,1e-07,0.369659213481282,0.0128296069569882,13,3,0,0.0119809026213855,0,1e-07,0.369660277863738,2.09630842889612e-13
