"","n","a","b","gamma","beta","subn","id","x","prior","posterior","infbeta","infgamma","value"
"132",1,0.01,0.01,0.1,0.01,12,12,1,0.438898261735246,0,0.0100050224366647,0.100001323882127,5.33034378709529e-13
"133",1,0.01,0.01,0.5,0.01,13,13,0,0.438898261735246,0,0.0100619985607903,0.500004893354814,4.78871565855834e-12
"134",1,0.01,0.01,0.5,0.01,13,13,0.1,0.0238484786402278,0.00650697590248336,0.0100619985607903,0.500004893354814,4.78871565855834e-12
"135",1,0.01,0.01,0.5,0.01,13,13,0.2,0.0135112329154958,0.0245112318776553,0.0100619985607903,0.500004893354814,4.78871565855834e-12
"136",1,0.01,0.01,0.5,0.01,13,13,0.3,0.0103326622570888,0.0515701630140985,0.0100619985607903,0.500004893354814,4.78871565855834e-12
"137",1,0.01,0.01,0.5,0.01,13,13,0.4,0.00905859458800361,0.0848674530350369,0.0100619985607903,0.500004893354814,4.78871565855834e-12
"138",1,0.01,0.01,0.5,0.01,13,13,0.5,0.00870153972787574,0.121046812859649,0.0100619985607903,0.500004893354814,4.78871565855834e-12
"139",1,0.01,0.01,0.5,0.01,13,13,0.6,0.00905859458800361,0.155911466779092,0.0100619985607903,0.500004893354814,4.78871565855834e-12
"140",1,0.01,0.01,0.5,0.01,13,13,0.7,0.0103326622570888,0.183807692143692,0.0100619985607903,0.500004893354814,4.78871565855834e-12
"141",1,0.01,0.01,0.5,0.01,13,13,0.8,0.0135112329154958,0.196089855021242,0.0100619985607903,0.500004893354814,4.78871565855834e-12
"142",1,0.01,0.01,0.5,0.01,13,13,0.9,0.0238484786402279,0.175688349367051,0.0100619985607903,0.500004893354814,4.78871565855834e-12
"143",1,0.01,0.01,0.5,0.01,13,13,1,0.438898261735246,0,0.0100619985607903,0.500004893354814,4.78871565855834e-12
"144",1,0.01,0.01,1,0.01,14,14,0,0.438898261735246,0,0.00999325174780746,1.00000481439885,4.91973813357484e-13
"145",1,0.01,0.01,1,0.01,14,14,0.1,0.0238484786402278,0.000277199663789055,0.00999325174780746,1.00000481439885,4.91973813357484e-13
"146",1,0.01,0.01,1,0.01,14,14,0.2,0.0135112329154958,0.00393787901793243,0.00999325174780746,1.00000481439885,4.91973813357484e-13
"147",1,0.01,0.01,1,0.01,14,14,0.3,0.0103326622570888,0.0174374220713687,0.00999325174780746,1.00000481439885,4.91973813357484e-13
"148",1,0.01,0.01,1,0.01,14,14,0.4,0.00905859458800361,0.0472312046582673,0.00999325174780746,1.00000481439885,4.91973813357484e-13
"149",1,0.01,0.01,1,0.01,14,14,0.5,0.00870153972787574,0.0960883234660036,0.00999325174780746,1.00000481439885,4.91973813357484e-13
"150",1,0.01,0.01,1,0.01,14,14,0.6,0.00905859458800361,0.159405315721652,0.00999325174780746,1.00000481439885,4.91973813357484e-13
"151",1,0.01,0.01,1,0.01,14,14,0.7,0.0103326622570888,0.221519843351091,0.00999325174780746,1.00000481439885,4.91973813357484e-13
"152",1,0.01,0.01,1,0.01,14,14,0.8,0.0135112329154958,0.252024257147675,0.00999325174780746,1.00000481439885,4.91973813357484e-13
"153",1,0.01,0.01,1,0.01,14,14,0.9,0.0238484786402279,0.202078554902221,0.00999325174780746,1.00000481439885,4.91973813357484e-13
"154",1,0.01,0.01,1,0.01,14,14,1,0.438898261735246,0,0.00999325174780746,1.00000481439885,4.91973813357484e-13
"155",1,0.01,0.01,5,0.01,15,15,0,0.438898261735246,0,0.00995383222249783,5.00002322439359,3.7495584452448e-12
"156",1,0.01,0.01,5,0.01,15,15,0.1,0.0238484786402278,8.15444607763575e-16,0.00995383222249783,5.00002322439359,3.7495584452448e-12
"157",1,0.01,0.01,5,0.01,15,15,0.2,0.0135112329154958,4.73951580887736e-10,0.00995383222249783,5.00002322439359,3.7495584452448e-12
"158",1,0.01,0.01,5,0.01,15,15,0.3,0.0103326622570888,8.08064901720135e-07,0.00995383222249783,5.00002322439359,3.7495584452448e-12
"159",1,0.01,0.01,5,0.01,15,15,0.4,0.00905859458800361,0.000117876060695417,0.00995383222249783,5.00002322439359,3.7495584452448e-12
"160",1,0.01,0.01,5,0.01,15,15,0.5,0.00870153972787574,0.00410868106836252,0.00995383222249783,5.00002322439359,3.7495584452448e-12
"161",1,0.01,0.01,5,0.01,15,15,0.6,0.00905859458800361,0.0516172068006864,0.00995383222249783,5.00002322439359,3.7495584452448e-12
"162",1,0.01,0.01,5,0.01,15,15,0.7,0.0103326622570888,0.267360979128402,0.00995383222249783,5.00002322439359,3.7495584452448e-12
"163",1,0.01,0.01,5,0.01,15,15,0.8,0.0135112329154958,0.50890163495008,0.00995383222249783,5.00002322439359,3.7495584452448e-12
"164",1,0.01,0.01,5,0.01,15,15,0.9,0.0238484786402279,0.167892813452919,0.00995383222249783,5.00002322439359,3.7495584452448e-12
"165",1,0.01,0.01,5,0.01,15,15,1,0.438898261735246,0,0.00995383222249783,5.00002322439359,3.7495584452448e-12
"166",1,0.01,0.01,10,0.01,16,16,0,0.438898261735246,0,0.0100268344709082,10.0000337096559,1.79934193584613e-12
"167",1,0.01,0.01,10,0.01,16,16,0.1,0.0238484786402278,1.83819521063366e-30,0.0100268344709082,10.0000337096559,1.79934193584613e-12
"168",1,0.01,0.01,10,0.01,16,16,0.2,0.0135112329154958,6.21682213475305e-19,0.0100268344709082,10.0000337096559,1.79934193584613e-12
"169",1,0.01,0.01,10,0.01,16,16,0.3,0.0103326622570888,1.80778240805373e-12,0.0100268344709082,10.0000337096559,1.79934193584613e-12
"170",1,0.01,0.01,10,0.01,16,16,0.4,0.00905859458800361,3.84739086935427e-08,0.0100268344709082,10.0000337096559,1.79934193584613e-12
"171",1,0.01,0.01,10,0.01,16,16,0.5,0.00870153972787574,4.67452145193221e-05,0.0100268344709082,10.0000337096559,1.79934193584613e-12
"172",1,0.01,0.01,10,0.01,16,16,0.6,0.00905859458800361,0.00737741274481605,0.0100268344709082,10.0000337096559,1.79934193584613e-12
"173",1,0.01,0.01,10,0.01,16,16,0.7,0.0103326622570888,0.197901786502971,0.0100268344709082,10.0000337096559,1.79934193584613e-12
"174",1,0.01,0.01,10,0.01,16,16,0.8,0.0135112329154958,0.716750792947262,0.0100268344709082,10.0000337096559,1.79934193584613e-12
"175",1,0.01,0.01,10,0.01,16,16,0.9,0.0238484786402279,0.0779232241147154,0.0100268344709082,10.0000337096559,1.79934193584613e-12
"176",1,0.01,0.01,10,0.01,16,16,1,0.438898261735246,0,0.0100268344709082,10.0000337096559,1.79934193584613e-12
"177",1,0.01,0.01,20,0.01,17,17,0,0.438898261735246,0,0.0116226451830068,19.9997165051551,1.11026529280841e-11
"178",1,0.01,0.01,20,0.01,17,17,0.1,0.0238484786402278,6.03740389663599e-60,0.0116226451830068,19.9997165051551,1.11026529280841e-11
"179",1,0.01,0.01,20,0.01,17,17,0.2,0.0135112329154958,6.91355854429521e-37,0.0116226451830068,19.9997165051551,1.11026529280841e-11
"180",1,0.01,0.01,20,0.01,17,17,0.3,0.0103326622570888,5.84803887419464e-24,0.0116226451830068,19.9997165051551,1.11026529280841e-11
"181",1,0.01,0.01,20,0.01,17,17,0.4,0.00905859458800361,2.64918308265433e-15,0.0116226451830068,19.9997165051551,1.11026529280841e-11
"182",1,0.01,0.01,20,0.01,17,17,0.5,0.00870153972787574,3.91084748820885e-09,0.0116226451830068,19.9997165051551,1.11026529280841e-11
"183",1,0.01,0.01,20,0.01,17,17,0.6,0.00905859458800361,9.74064053000033e-05,0.0116226451830068,19.9997165051551,1.11026529280841e-11
"184",1,0.01,0.01,20,0.01,17,17,0.7,0.0103326622570888,0.0700837559393361,0.0116226451830068,19.9997165051551,1.11026529280841e-11
"185",1,0.01,0.01,20,0.01,17,17,0.8,0.0135112329154958,0.918969556757516,0.0116226451830068,19.9997165051551,1.11026529280841e-11
"186",1,0.01,0.01,20,0.01,17,17,0.9,0.0238484786402279,0.0108492769869983,0.0116226451830068,19.9997165051551,1.11026529280841e-11
"187",1,0.01,0.01,20,0.01,17,17,1,0.438898261735246,0,0.0116226451830068,19.9997165051551,1.11026529280841e-11
"188",1,0.01,0.01,30,0.01,18,18,0,0.438898261735246,0,0.207807433810442,29.9420620972803,3.94786782148332e-09
"189",1,0.01,0.01,30,0.01,18,18,0.1,0.0238484786402278,1.64617565392699e-89,0.207807433810442,29.9420620972803,3.94786782148332e-09
"190",1,0.01,0.01,30,0.01,18,18,0.2,0.0135112329154958,6.38266705627133e-55,0.207807433810442,29.9420620972803,3.94786782148332e-09
"191",1,0.01,0.01,30,0.01,18,18,0.3,0.0103326622570888,1.57051355499067e-35,0.207807433810442,29.9420620972803,3.94786782148332e-09
"192",1,0.01,0.01,30,0.01,18,18,0.4,0.00905859458800361,1.5143455276923e-22,0.207807433810442,29.9420620972803,3.94786782148332e-09
"193",1,0.01,0.01,30,0.01,18,18,0.5,0.00870153972787574,2.71626380237952e-13,0.207807433810442,29.9420620972803,3.94786782148332e-09
"194",1,0.01,0.01,30,0.01,18,18,0.6,0.00905859458800361,1.06767308397462e-06,0.207807433810442,29.9420620972803,3.94786782148332e-09
"195",1,0.01,0.01,30,0.01,18,18,0.7,0.0103326622570888,0.020604039112572,0.207807433810442,29.9420620972803,3.94786782148332e-09
"196",1,0.01,0.01,30,0.01,18,18,0.8,0.0135112329154958,0.978140880256734,0.207807433810442,29.9420620972803,3.94786782148332e-09
"197",1,0.01,0.01,30,0.01,18,18,0.9,0.0238484786402279,0.00125401295733826,0.207807433810442,29.9420620972803,3.94786782148332e-09
"198",1,0.01,0.01,30,0.01,18,18,1,0.438898261735246,0,0.207807433810442,29.9420620972803,3.94786782148332e-09
"199",1,0.01,0.01,40,0.01,19,19,0,0.438898261735246,0,0.796841664229296,39.3746575101341,7.51724607345534e-09
"200",1,0.01,0.01,40,0.01,19,19,0.1,0.0238484786402278,4.28569081608923e-119,0.796841664229296,39.3746575101341,7.51724607345534e-09
"201",1,0.01,0.01,40,0.01,19,19,0.2,0.0135112329154958,5.62628146398218e-73,0.796841664229296,39.3746575101341,7.51724607345534e-09
"202",1,0.01,0.01,40,0.01,19,19,0.3,0.0103326622570888,4.02709472932495e-47,0.796841664229296,39.3746575101341,7.51724607345534e-09
"203",1,0.01,0.01,40,0.01,19,19,0.4,0.00905859458800361,8.26526350421015e-30,0.796841664229296,39.3746575101341,7.51724607345534e-09
"204",1,0.01,0.01,40,0.01,19,19,0.5,0.00870153972787574,1.80132356510395e-17,0.796841664229296,39.3746575101341,7.51724607345534e-09
"205",1,0.01,0.01,40,0.01,19,19,0.6,0.00905859458800361,1.11739774483171e-08,0.796841664229296,39.3746575101341,7.51724607345534e-09
"206",1,0.01,0.01,40,0.01,19,19,0.7,0.0103326622570888,0.00578370430061614,0.796841664229296,39.3746575101341,7.51724607345534e-09
"207",1,0.01,0.01,40,0.01,19,19,0.8,0.0135112329154958,0.994077889025384,0.796841664229296,39.3746575101341,7.51724607345534e-09
"208",1,0.01,0.01,40,0.01,19,19,0.9,0.0238484786402279,0.000138395500022289,0.796841664229296,39.3746575101341,7.51724607345534e-09
"209",1,0.01,0.01,40,0.01,19,19,1,0.438898261735246,0,0.796841664229296,39.3746575101341,7.51724607345534e-09
"210",1,0.01,0.01,50,0.01,20,20,0,0.438898261735246,0,0.9999999,47.9776246946565,1.06337889443086e-09
"211",1,0.01,0.01,50,0.01,20,20,0.1,0.0238484786402278,1.10261060923212e-148,0.9999999,47.9776246946565,1.06337889443086e-09
"212",1,0.01,0.01,50,0.01,20,20,0.2,0.0135112329154958,4.90114314917626e-91,0.9999999,47.9776246946565,1.06337889443086e-09
"213",1,0.01,0.01,50,0.01,20,20,0.3,0.0103326622570888,1.02046630843166e-58,0.9999999,47.9776246946565,1.06337889443086e-09
"214",1,0.01,0.01,50,0.01,20,20,0.4,0.00905859458800361,4.45805166128781e-37,0.9999999,47.9776246946565,1.06337889443086e-09
"215",1,0.01,0.01,50,0.01,20,20,0.5,0.00870153972787574,1.18050595844812e-21,0.9999999,47.9776246946565,1.06337889443086e-09
"216",1,0.01,0.01,50,0.01,20,20,0.6,0.00905859458800361,1.15567030782232e-10,0.9999999,47.9776246946565,1.06337889443086e-09
"217",1,0.01,0.01,50,0.01,20,20,0.7,0.0103326622570888,0.00160441408100041,0.9999999,47.9776246946565,1.06337889443086e-09
"218",1,0.01,0.01,50,0.01,20,20,0.8,0.0135112329154958,0.99838049200372,0.9999999,47.9776246946565,1.06337889443086e-09
"219",1,0.01,0.01,50,0.01,20,20,0.9,0.0238484786402279,1.50937997123473e-05,0.9999999,47.9776246946565,1.06337889443086e-09
"220",1,0.01,0.01,50,0.01,20,20,1,0.438898261735246,0,0.9999999,47.9776246946565,1.06337889443086e-09
"221",1,0.01,0.01,0.01,0.1,21,21,0,0.438898261735246,0,0.100054584632916,0.0100025032477173,3.0609893904929e-12
"222",1,0.01,0.01,0.01,0.1,21,21,0.1,0.0238484786402278,0.10707005972803,0.100054584632916,0.0100025032477173,3.0609893904929e-12
"223",1,0.01,0.01,0.01,0.1,21,21,0.2,0.0135112329154958,0.108600812503567,0.100054584632916,0.0100025032477173,3.0609893904929e-12
"224",1,0.01,0.01,0.01,0.1,21,21,0.3,0.0103326622570888,0.109807963121217,0.100054584632916,0.0100025032477173,3.0609893904929e-12
"225",1,0.01,0.01,0.01,0.1,21,21,0.4,0.00905859458800361,0.110737204721534,0.100054584632916,0.0100025032477173,3.0609893904929e-12
"226",1,0.01,0.01,0.01,0.1,21,21,0.5,0.00870153972787574,0.1114783811351,0.100054584632916,0.0100025032477173,3.0609893904929e-12
"227",1,0.01,0.01,0.01,0.1,21,21,0.6,0.00905859458800361,0.112092432656555,0.100054584632916,0.0100025032477173,3.0609893904929e-12
"228",1,0.01,0.01,0.01,0.1,21,21,0.7,0.0103326622570888,0.112634941870219,0.100054584632916,0.0100025032477173,3.0609893904929e-12
"229",1,0.01,0.01,0.01,0.1,21,21,0.8,0.0135112329154958,0.113212628634495,0.100054584632916,0.0100025032477173,3.0609893904929e-12
"230",1,0.01,0.01,0.01,0.1,21,21,0.9,0.0238484786402279,0.114365575629283,0.100054584632916,0.0100025032477173,3.0609893904929e-12
"231",1,0.01,0.01,0.01,0.1,21,21,1,0.438898261735246,0,0.100054584632916,0.0100025032477173,3.0609893904929e-12
"232",1,0.01,0.01,0.1,0.1,22,22,0,0.438898261735246,0,0.0999849458171611,0.100001360019095,7.9244873987011e-13
"233",1,0.01,0.01,0.1,0.1,22,22,0.1,0.0238484786402278,0.0673725726870239,0.0999849458171611,0.100001360019095,7.9244873987011e-13
"234",1,0.01,0.01,0.1,0.1,22,22,0.2,0.0135112329154958,0.0867791181609823,0.0999849458171611,0.100001360019095,7.9244873987011e-13
"235",1,0.01,0.01,0.1,0.1,22,22,0.3,0.0103326622570888,0.100320473157331,0.0999849458171611,0.100001360019095,7.9244873987011e-13
"236",1,0.01,0.01,0.1,0.1,22,22,0.4,0.00905859458800361,0.110662894873179,0.0999849458171611,0.100001360019095,7.9244873987011e-13
"237",1,0.01,0.01,0.1,0.1,22,22,0.5,0.00870153972787574,0.11875732761367,0.0999849458171611,0.100001360019095,7.9244873987011e-13
"238",1,0.01,0.01,0.1,0.1,22,22,0.6,0.00905859458800361,0.124976801193809,0.0999849458171611,0.100001360019095,7.9244873987011e-13
"239",1,0.01,0.01,0.1,0.1,22,22,0.7,0.0103326622570888,0.129354817450826,0.0999849458171611,0.100001360019095,7.9244873987011e-13
"240",1,0.01,0.01,0.1,0.1,22,22,0.8,0.0135112329154958,0.131532547023764,0.0999849458171611,0.100001360019095,7.9244873987011e-13
"241",1,0.01,0.01,0.1,0.1,22,22,0.9,0.0238484786402279,0.130243447839415,0.0999849458171611,0.100001360019095,7.9244873987011e-13
"242",1,0.01,0.01,0.1,0.1,22,22,1,0.438898261735246,0,0.0999849458171611,0.100001360019095,7.9244873987011e-13
