"","pID","condition","section","seenRed","seenBlue","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","time","chipsOrder","actuallyEstimated","beta","gamma","delta","value"
"35","178","estimated","posterior",4,1,0.00900900900900901,0.0631531531531531,0.00900900900900901,0.00900900900900901,0.0445945945945946,0.00900900900900901,0.00900900900900901,0.0496396396396396,0.701621621621622,0.0631531531531531,0.0327927927927928,23,"female",1,303.18,12222,1,0.9999999,10.5799047621978,9.99804210585073,0.0185260393043834
"36","179","estimated","posterior",4,1,0.0408181654352136,0.0408181654352136,0.0408181654352136,0.0535231573256443,0.0820868624977474,0.0408181654352136,0.0603712380609119,0.0408181654352136,0.456208325824473,0.0711839971165976,0.0725355919985583,21,"female",1,336.87,12222,1,0.651463499912566,2.25129597942422,1.84795767739685,0.0405994805173177
"37","180","estimated","posterior",4,1,0.0657657657657658,0.0630630630630631,0.066036036036036,0.0630630630630631,0.0781081081081081,0.0945945945945946,0.11045045045045,0.133873873873874,0.179099099099099,0.135135135135135,0.0108108108108108,26,"female",1,197.68,21222,1,1e-07,0.137752549665959,1e-07,0.0081183090598441
"38","182","estimated","posterior",4,1,0.0558608883683215,0.0110820794666186,0.0110820794666186,0.0110820794666186,0.052887647535814,0.0110820794666186,0.0110820794666186,0.0377511487521398,0.727182629065682,0.052887647535814,0.018019641409136,20,"female",1,152,21222,1,0.9999999,12.3867945038986,11.2215848601992,0.0177322594799865
"39","184","estimated","posterior",4,1,0.00900900900900901,0.141981981981982,0.125045045045045,0.0515315315315315,0.0118918918918919,0.0420720720720721,0.0627927927927928,0.272972972972973,0.0458558558558559,0.108018018018018,0.128828828828829,28,"female",1,480.11,22122,1,0.544799084192371,1.02917937427268,1.50912285078359,0.0868641232279601
"40","189","estimated","posterior",4,1,0.00927844338347896,0.0484641023331231,0.0504459057742546,0.109900009008197,0.148455094135663,0.203585262588956,0.134582470047743,0.107647959643275,0.092514187910999,0.0522475452661922,0.0428790199081164,24,"female",1,179.78,22221,1,0.131354555141729,0.334526057017541,1.14835016067873,0.00551344679904745
"41","191","estimated","posterior",4,1,0.00909991891161366,0.0105414902243445,0.0093702135327507,0.0118929633300297,0.0251373997657447,0.0533381385710424,0.112893053428237,0.198666546535724,0.28759347688981,0.195603207496171,0.0858635913145328,31,"male",1,184.5,21222,1,1e-07,1.35575409327945,1.26956461276219,0.0112340022386734
"42","194","estimated","posterior",4,1,0.0245022970903522,0.018466804792361,0.0105395910278353,0.0988199261327808,0.105035582379966,0.147914602288082,0.133501486352581,0.240879200072066,0.199261327808306,0.0105395910278353,0.0105395910278353,21,"female",1,159.28,22212,1,1e-07,0.759753828896385,1.58283357491942,0.0147241335321031
"43","195","estimated","posterior",4,1,0.0114404107738042,0.0618863165480587,0.0114404107738042,0.0114404107738042,0.0114404107738042,0.0114404107738042,0.0363030357625439,0.0336005765246374,0.0403567246194037,0.71011620574723,0.0605350869291055,22,"female",1,333.67,22212,1,0.831722857157979,3.22801925623524,1e-07,0.0333937109917531
"44","196","estimated","posterior",4,1,0.0254931988109179,0.0333303306008468,0.0267543464552743,0.0793622196198541,0.0917034501396271,0.103324024862625,0.11503468156022,0.217187640753085,0.285019367624538,0.0117106566975948,0.0110800828754166,30,"male",1,175.77,21222,1,1e-07,0.971325787532917,1.57301942633876,0.0289173887847301
