"","pID","condition","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","actuallyEstimated"
"39","50","uniform",0.031,0.031,0.0539,0.0521,0.1107,0.109,0.4882,0.031,0.031,0.031,0.031,24,"female",1,1
"40","51","uniform",0.0748,0.0748,0.0748,0.0748,0.0748,0.0748,0.2539,0.0748,0.0748,0.0748,0.0731,20,"female",1,1
"41","52","uniform",0.0098,0.0098,0.0906,0.0098,0.0098,0.0951,0.0098,0.7357,0.0098,0.0098,0.0098,18,"female",1,1
"42","53","uniform",0.0678,0.0203,0.0678,0.0203,0.0203,0.0291,0.0203,0.693,0.0203,0.0203,0.0203,21,"female",1,1
"43","55","uniform",0.0127,0.0127,0.0127,0.0127,0.0127,0.0877,0.1803,0.2692,0.3735,0.0127,0.0127,24,"female",1,1
"44","56","uniform",0.015,0.015,0.015,0.015,0.015,0.465,0.015,0.015,0.4,0.015,0.015,23,"female",1,1
"45","57","uniform",0.0163,0.0163,0.0163,0.0163,0.1383,0.5955,0.1357,0.0163,0.0163,0.0163,0.0163,21,"female",1,1
"46","58","uniform",0,0,0,0,0.0534,0.0575,0.1976,0.3675,0.218,0.106,0,35,"female",1,1
"47","59","uniform",0.0099,0.0973,0.1376,0.1608,0.1423,0.0922,0.0913,0.099,0.0664,0.0508,0.0524,23,"female",1,1
"48","60","uniform",0.1252,0.1854,0.1825,0.1708,0.2036,0.09,0.02,0.0225,0,0,0,23,"female",1,1
"49","62","uniform",0.0933,0.0307,0.0591,0.1169,0.0916,0.1223,0.0938,0.1174,0.0708,0.1007,0.1033,19,"female",1,1
"50","63","uniform",0.7864,0,0.0568,0,0.0667,0.0254,0.0188,0,0.0089,0,0.037,46,"female",1,1
"51","64","peaked",0.116,0.0117,0.0117,0.0311,0.0117,0.0117,0.0117,0.0117,0.6968,0.0529,0.0333,31,"female",1,1
"52","66","peaked",0.0191,0.0191,0.0191,0.0191,0.0191,0.0191,0.0621,0.2171,0.419,0.145,0.0421,27,"female",1,1
"53","68","peaked",0.0104,0.0128,0.0156,0.0178,0.0144,0.0104,0.0104,0.0104,0.7952,0.0923,0.0104,18,"female",1,1
"54","69","peaked",0.0035,0.0259,0.0392,0.0484,0.0579,0.0614,0.0677,0.2151,0.3613,0.1145,0.0051,21,"female",1,1
"55","70","peaked",0.0035,0.0054,8e-04,8e-04,8e-04,8e-04,0.0279,0.1683,0.7902,8e-04,8e-04,27,"female",1,1
"56","71","peaked",0.001,0.001,0.001,0.001,0.1254,0.0019,0.001,0.001,0.7684,0.0974,0.001,26,"female",1,1
"57","72","peaked",0.029,0.0732,0,0.0675,0.0832,0.1088,0.4155,0.019,0.0147,0.1031,0.086,24,"female",1,1
"58","73","peaked",3e-04,3e-04,3e-04,3e-04,3e-04,3e-04,3e-04,0.302,0.695,3e-04,3e-04,21,"female",1,1
"59","74","peaked",0,0,0,0,0,0.2941,0,0.7059,0,0,0,36,"female",1,1
"60","75","peaked",8e-04,0.0339,0.0954,8e-04,0.0563,0.0087,0.0087,8e-04,0.7928,8e-04,8e-04,23,"female",1,1
